PGE_Temp,PGE_Solar,SCE_Temp,SCE_Solar,SDGE_Temp,SDGE_Solar,VEA_Temp,VEA_Solar,Date,HR
7.2,0.0,9.8,0.0,9.5,0.0,7.3,0.0,2025-01-01,0
6.3,0.0,9.2,0.0,8.9,0.0,7.3,0.0,2025-01-01,1
5.5,0.0,9.3,0.0,8.8,0.0,7.1,0.0,2025-01-01,2
5.5,0.0,9.3,0.0,8.1,0.0,6.9,0.0,2025-01-01,3
5.2,0.0,9.6,0.0,7.3,0.0,6.8,0.0,2025-01-01,4
5.1,0.0,9.0,0.0,7.1,0.0,6.8,0.0,2025-01-01,5
5.1,0.0,9.4,0.0,8.6,0.0,5.7,0.0,2025-01-01,6
4.8,0.0,9.4,0.0,8.2,0.0,4.8,0.0,2025-01-01,7
4.8,0.0,8.9,0.0,7.1,0.0,4.8,0.0,2025-01-01,8
5.0,6.0,10.2,55.0,8.7,73.0,5.8,63.0,2025-01-01,9
5.5,37.0,11.9,212.0,11.7,239.0,7.7,224.0,2025-01-01,10
6.4,99.0,13.9,372.0,13.8,401.0,8.9,373.0,2025-01-01,11
8.3,268.0,16.4,492.0,15.3,520.0,10.5,478.0,2025-01-01,12
9.8,312.0,18.4,552.0,16.2,578.0,12.3,529.0,2025-01-01,13
10.1,182.0,19.7,542.0,16.6,569.0,13.1,517.0,2025-01-01,14
10.0,69.0,20.1,476.0,16.5,497.0,14.1,443.0,2025-01-01,15
10.1,53.0,20.0,358.0,15.9,371.0,14.2,318.0,2025-01-01,16
10.0,27.0,19.0,199.0,14.9,203.0,13.7,157.0,2025-01-01,17
10.5,5.0,16.3,42.0,13.3,42.0,11.9,19.0,2025-01-01,18
10.1,0.0,15.1,0.0,12.6,0.0,11.8,0.0,2025-01-01,19
9.4,0.0,13.9,0.0,12.3,0.0,11.5,0.0,2025-01-01,20
9.5,0.0,12.8,0.0,11.6,0.0,11.4,0.0,2025-01-01,21
8.9,0.0,12.4,0.0,11.1,0.0,10.7,0.0,2025-01-01,22
8.2,0.0,12.1,0.0,10.6,0.0,10.4,0.0,2025-01-01,23
8.2,0.0,12.1,0.0,9.8,0.0,9.9,0.0,2025-01-02,0
8.0,0.0,12.2,0.0,9.2,0.0,9.4,0.0,2025-01-02,1
8.0,0.0,12.3,0.0,8.9,0.0,9.1,0.0,2025-01-02,2
7.9,0.0,12.2,0.0,8.9,0.0,8.7,0.0,2025-01-02,3
7.8,0.0,11.7,0.0,8.3,0.0,8.2,0.0,2025-01-02,4
7.3,0.0,11.2,0.0,7.5,0.0,7.4,0.0,2025-01-02,5
7.4,0.0,10.4,0.0,6.2,0.0,6.4,0.0,2025-01-02,6
7.5,0.0,10.1,0.0,6.1,0.0,6.1,0.0,2025-01-02,7
7.2,0.0,9.8,0.0,6.5,0.0,5.9,0.0,2025-01-02,8
7.0,11.0,11.1,56.0,9.3,79.0,7.2,57.0,2025-01-02,9
8.2,116.0,14.1,220.0,12.9,256.0,9.3,199.0,2025-01-02,10
9.6,251.0,17.2,379.0,16.6,419.0,11.2,344.0,2025-01-02,11
11.0,329.0,20.2,497.0,19.1,535.0,12.9,467.0,2025-01-02,12
12.2,378.0,22.5,558.0,20.9,593.0,14.5,520.0,2025-01-02,13
12.9,362.0,24.3,557.0,21.2,585.0,15.6,513.0,2025-01-02,14
13.2,281.0,25.4,492.0,20.3,511.0,16.3,441.0,2025-01-02,15
13.4,237.0,25.6,370.0,18.9,380.0,16.5,316.0,2025-01-02,16
13.0,147.0,24.0,207.0,16.8,210.0,16.0,156.0,2025-01-02,17
11.6,34.0,19.6,45.0,14.8,44.0,15.0,20.0,2025-01-02,18
10.9,0.0,17.5,0.0,13.2,0.0,14.4,0.0,2025-01-02,19
10.7,0.0,16.3,0.0,12.7,0.0,13.7,0.0,2025-01-02,20
9.9,0.0,14.9,0.0,12.0,0.0,12.7,0.0,2025-01-02,21
9.4,0.0,14.0,0.0,12.1,0.0,11.9,0.0,2025-01-02,22
8.8,0.0,13.6,0.0,12.1,0.0,11.3,0.0,2025-01-02,23
8.2,0.0,13.2,0.0,12.5,0.0,10.7,0.0,2025-01-03,0
7.8,0.0,13.0,0.0,12.2,0.0,10.0,0.0,2025-01-03,1
8.1,0.0,12.8,0.0,11.9,0.0,9.8,0.0,2025-01-03,2
8.3,0.0,12.7,0.0,11.4,0.0,9.9,0.0,2025-01-03,3
8.5,0.0,12.8,0.0,10.9,0.0,10.0,0.0,2025-01-03,4
8.6,0.0,12.5,0.0,10.9,0.0,9.8,0.0,2025-01-03,5
9.0,0.0,10.2,0.0,9.6,0.0,8.8,0.0,2025-01-03,6
9.1,0.0,10.3,0.0,9.9,0.0,8.2,0.0,2025-01-03,7
9.0,0.0,9.5,0.0,9.4,0.0,8.1,0.0,2025-01-03,8
8.8,3.0,10.3,43.0,11.0,75.0,9.4,62.0,2025-01-03,9
9.0,14.0,12.3,157.0,13.5,240.0,12.3,174.0,2025-01-03,10
9.3,18.0,14.0,247.0,16.0,404.0,15.6,311.0,2025-01-03,11
9.6,33.0,16.0,324.0,17.7,517.0,17.9,414.0,2025-01-03,12
11.0,92.0,18.2,444.0,18.3,581.0,19.1,449.0,2025-01-03,13
11.0,64.0,19.3,492.0,17.2,548.0,20.1,464.0,2025-01-03,14
11.1,55.0,18.9,411.0,16.4,495.0,20.1,286.0,2025-01-03,15
12.7,213.0,19.1,349.0,14.7,187.0,19.3,188.0,2025-01-03,16
12.6,150.0,18.4,205.0,14.6,112.0,17.3,101.0,2025-01-03,17
11.0,36.0,15.8,44.0,13.1,42.0,15.7,20.0,2025-01-03,18
10.5,0.0,14.5,0.0,12.6,0.0,14.1,0.0,2025-01-03,19
9.7,0.0,12.4,0.0,11.8,0.0,13.1,0.0,2025-01-03,20
9.3,0.0,11.5,0.0,12.0,0.0,12.5,0.0,2025-01-03,21
9.0,0.0,10.8,0.0,11.9,0.0,11.4,0.0,2025-01-03,22
8.7,0.0,10.5,0.0,11.0,0.0,11.9,0.0,2025-01-03,23
8.3,0.0,10.7,0.0,9.9,0.0,11.8,0.0,2025-01-04,0
7.8,0.0,11.3,0.0,10.0,0.0,11.6,0.0,2025-01-04,1
7.5,0.0,10.9,0.0,9.2,0.0,10.4,0.0,2025-01-04,2
7.3,0.0,10.0,0.0,8.2,0.0,8.9,0.0,2025-01-04,3
7.0,0.0,9.4,0.0,9.5,0.0,8.0,0.0,2025-01-04,4
6.4,0.0,8.2,0.0,10.2,0.0,7.2,0.0,2025-01-04,5
5.5,0.0,9.9,0.0,8.4,0.0,6.6,0.0,2025-01-04,6
