year,Zone Substation,Date,Unit,00:15,00:30,00:45,01:15,01:30,01:45,01:00,02:15,02:30,02:45,02:00,03:15,03:30,03:45,03:00,04:15,04:30,04:45,04:00,05:15,05:30,05:45,05:00,06:15,06:30,06:45,06:00,07:15,07:30,07:45,07:00,08:15,08:30,08:45,08:00,09:15,09:30,09:45,09:00,10:15,10:30,10:45,10:00,11:15,11:30,11:45,11:00,12:15,12:30,12:45,12:00,13:15,13:30,13:45,13:00,14:15,14:30,14:45,14:00,15:15,15:30,15:45,15:00,16:15,16:30,16:45,16:00,17:15,17:30,17:45,17:00,18:15,18:30,18:45,18:00,19:15,19:30,19:45,19:00,20:15,20:30,20:45,20:00,21:15,21:30,21:45,21:00,22:15,22:30,22:45,22:00,23:15,23:30,23:45,23:00,24:00
2025,Punchbowl 33_11kV,2024-05-01,MW,15.704156,15.423099,14.802064,14.410045,13.734175,13.255282,14.425528,12.356629,12.058368,11.830856,12.626934,11.379702,11.3954,11.503994,11.488298,11.55453,11.756882,11.93343,11.534315,12.537907,13.067551,13.395702,12.22954,14.556488,15.386328,16.379812,13.769871,17.063854,17.53092,17.407918,16.763012,18.226145,17.66059,17.946164,17.328353,17.541027,18.172601,16.978054,17.774992,14.61885,13.502792,12.623278,16.938916,14.354136,14.289193,14.070498,13.41011,17.161482,18.000568,18.559672,15.822644,17.450926,15.824149,16.12757,18.366997,14.896036,14.614765,16.455076,16.09897,16.524964,17.473506,17.853911,15.943926,18.616014,19.592294,20.658678,17.13955,22.195139,23.189699,23.935887,21.524644,23.874172,23.346248,23.030784,23.946424,22.665862,22.287176,22.14611,22.89875,22.078158,21.765059,21.506151,22.445876,20.660183,20.112261,19.771853,20.974786,19.080929,18.81987,18.49344,19.291454,18.028309,17.651342,17.456732,17.995192,16.953969
2025,Punchbowl 33_11kV,2024-05-02,MW,16.269712,15.969731,15.440302,15.029575,14.438001,13.779548,15.223327,12.724777,12.361145,12.000738,13.166254,11.935581,11.844834,11.754947,11.922248,11.817953,11.885691,12.267172,11.789568,12.971214,13.426883,13.757614,12.546294,14.808944,15.686523,16.216167,14.14189,17.775637,17.68575,17.675213,17.057834,18.101637,16.921928,15.276657,17.209436,17.992183,17.056543,16.240466,16.505826,17.587907,17.931541,18.029599,17.078477,18.665473,13.84406,11.993211,18.631066,16.413359,17.229435,18.115185,15.197092,13.101528,14.152644,13.603431,14.664437,15.726091,15.353427,15.771464,14.036092,16.864298,18.161634,18.52161,16.622807,20.063662,20.673731,21.379492,19.096628,22.724783,23.150992,23.921695,21.93107,23.904922,23.772457,23.567954,24.182325,22.97896,22.717256,22.863913,23.427748,22.58307,22.395771,21.681192,22.909287,20.98769,20.545782,19.812282,21.55862,18.997495,18.993839,18.599025,19.29468,17.952615,17.553931,17.370716,17.95627,16.922574
2025,Punchbowl 33_11kV,2024-05-03,MW,16.307129,15.99231,15.45772,15.116237,14.48832,13.947494,15.180964,12.903261,12.506941,12.27943,13.400218,11.902249,11.7457,11.683769,12.134707,11.859242,11.883326,12.159007,11.779677,12.717251,13.146686,13.918034,12.359424,14.745938,15.26526,15.45643,14.306181,17.048156,17.734134,18.054544,16.227563,19.103079,18.315602,17.15073,18.54849,17.352008,17.605325,18.129377,17.624464,17.652204,17.670912,18.571715,17.921864,17.757358,17.125141,19.719598,18.443336,19.396608,19.466066,19.213824,20.223652,21.01973,20.462777,19.681106,20.118068,19.43295,19.774434,19.501548,19.364137,18.827183,19.907544,20.418694,19.108455,21.61066,21.995367,23.077018,21.091339,24.357152,25.030011,25.064847,23.695474,24.225332,23.59548,22.963046,24.665948,23.095726,22.940682,21.88032,22.710591,21.68958,21.030913,21.04747,21.415618,20.759316,20.135485,19.709061,21.02403,19.792281,19.43725,19.205222,19.821528,18.476882,18.014116,17.925304,18.912124,17.379747
2025,Punchbowl 33_11kV,2024-05-04,MW,17.01504,16.715919,16.250788,15.568897,15.005492,14.595195,15.977042,13.526232,13.000243,12.652094,13.982976,12.408884,12.118795,12.14847,12.473395,11.98848,11.989555,12.1489,12.044391,12.636826,12.791439,13.323018,12.499845,14.077379,14.149202,14.190275,13.65289,14.606592,15.07968,15.286764,14.170276,16.998697,17.531351,17.862728,15.641795,18.210018,17.888532,18.609777,18.059704,19.747768,17.836708,17.948744,19.293174,17.952615,17.867029,19.011687,19.149097,14.685943,16.140042,18.100132,16.059832,20.581909,15.807806,16.939992,20.573523,19.199631,19.560684,19.168021,19.149527,18.370867,18.807184,20.496753,18.967388,21.07091,21.446585,22.296638,20.868342,22.990572,23.491614,23.455919,22.983261,22.84327,22.930145,22.169765,23.064547,21.437768,21.327238,21.404866,22.056653,20.985754,20.648357,20.647926,20.952423,20.024094,19.695084,19.383276,20.422779,19.116196,19.168236,19.098778,19.167591,18.706975,18.516234,18.590208,18.811914,18.03734
2025,Punchbowl 33_11kV,2024-05-05,MW,17.533502,17.209437,16.769464,16.23251,15.6962,15.137525,16.415079,13.919325,13.316352,12.938097,14.381015,12.457912,12.19793,11.890207,12.713379,11.757312,11.593237,11.770429,11.754302,12.206961,12.372327,12.326523,11.978158,12.918528,13.285601,13.524726,12.539198,13.910508,14.399078,14.293064,13.588593,15.896832,16.09768,16.205845,14.923131,17.139333,16.9344,17.667042,16.693555,18.887824,19.553802,20.059792,18.450862,19.91765,19.989904,19.613585,20.21032,19.953132,19.56434,20.246446,19.844108,18.333451,16.700867,18.037556,19.573801,17.381684,19.117057,18.924596,17.741445,19.517891,20.720825,20.190966,19.004805,20.084522,20.206019,21.089833,19.508859,22.944338,23.839119,24.039968,21.966982,23.783854,23.356355,23.146691,24.011152,23.121316,22.797466,22.697258,23.138735,22.509312,22.252984,21.8257,22.724782,21.096285,20.651797,20.386868,21.387018,19.62283,19.636808,19.275971,19.781315,18.582466,18.115185,18.082284,18.618378,17.365126
2025,Punchbowl 33_11kV,2024-05-06,MW,16.77441,16.544532,16.0508,15.666309,14.908724,14.27199,15.739638,13.417636,13.015512,12.465224,13.748152,12.206316,11.898809,11.865047,12.196854,12.183521,12.03923,12.186962,11.943322,13.068196,13.322373,13.778473,12.554466,15.0528,15.790603,16.55206,14.290699,17.145999,17.686611,17.84961,17.146,17.981216,17.848965,15.944571,17.867889,15.521803,14.91711,14.475418,16.913542,13.589883,14.438216,14.960978,14.073294,13.275495,12.632525,13.227326,13.083678,16.948592,16.539372,13.542144,15.467398,15.153654,15.648676,14.177372,15.833181,15.813826,17.019986,17.628549,14.932162,18.928466,18.797507,17.725533,18.253026,19.419618,21.136712,21.87559,18.06336,23.212494,24.04771,24.582083,22.476196,24.464671,24.176733,23.698483,24.584448,23.168195,22.658766,22.162668,23.440865,22.073426,21.966336,21.583996,22.305454,20.691794,20.346441,19.889266,21.207675,19.002871,18.655796,18.414306,19.092326,17.891328,17.487483,17.453507,17.987451,17.037405
2025,Punchbowl 33_11kV,2024-05-07,MW,16.454431,16.151654,15.615344,14.893455,14.337147,13.78858,15.16032,12.977019,12.65747,12.300073,13.35549,12.12116,11.96289,11.83064,12.001813,11.817739,11.912141,12.203735,11.815802,12.854016,13.144536,13.762775,12.444365,15.017103,15.997256,16.936981,14.027919,17.658655,18.017772,18.320334,17.313516,18.045297,16.701298,17.773272,18.316678,17.327493,18.164215,18.680741,17.270507,19.151247,17.931111,17.12256,19.271885,15.556854,16.235304,13.005834,16.439163,14.89023,15.634268,15.384393,14.021038,16.971817,15.808666,15.456645,14.963128,14.418647,15.418798,17.41996,14.428539,18.51258,18.330441,18.43065,18.099487,20.544707,20.898663,21.433252,19.913349,22.478778,23.318723,24.186624,22.158152,23.900621,23.56989,23.463016,24.438007,22.988636,22.887568,22.880901,23.578491,22.420501,21.87215,21.497764,22.734459,20.82598,20.291175,19.980442,20.897373,19.327795,18.992549,18.7345,19.638098,18.047017,17.79628,17.41566,18.128302,16.98687
2025,Punchbowl 33_11kV,2024-05-08,MW,16.539587,15.943496,15.474494,15.10613,14.470687,13.929216,15.064197,13.001103,12.574249,12.216208,13.355704,12.209972,12.247389,12.06267,12.037724,12.135137,12.236206,12.375767,11.929774,13.106473,13.405378,13.833954,12.608655,15.13645,16.058972,16.74323,14.19307,17.903156,18.375814,18.374094,17.299322,18.517524,18.603111,17.715856,18.230876,17.008158,16.359598,15.55922,16.495504,14.64315,15.589541,18.504408,14.348759,18.33259,16.899349,17.215672,18.686976,15.753615,14.072217,16.022631,17.344696,19.178343,18.475807,17.495225,18.068736,18.686547,18.262917,18.041212,17.327709,18.836214,19.310376,19.526493,18.547846,20.565566,21.672377,22.431899,19.5695,23.654186,24.426394,24.839701,23.007346,24.319949,23.646014,23.495701,24.62423,22.935306,22.743276,22.429318,23.362591,22.372762,22.054504,21.573028,22.527591,20.797379,20.544922,20.10796,21.169183,19.499613,19.357041,18.938788,19.770348,18.493656,17.965302,17.57995,18.402908,17.140624
2025,Punchbowl 33_11kV,2024-05-09,MW,16.791184,16.431422,15.762002,15.260314,14.391767,13.959106,15.458796,13.099807,12.76972,12.348028,13.640848,11.954934,11.875369,11.888916,12.196424,11.999232,12.059228,12.209971,11.835802,12.787138,13.27915,13.75783,12.479846,14.871951,15.712973,16.308419,14.097593,17.345127,17.421251,18.125077,17.128366,18.41581,18.46269,17.991966,17.934121,17.065791,16.549048,16.738499,17.058048,16.969451,16.568187,16.053596,16.566251,19.00373,18.934702,17.997344,17.902941,14.422948,15.310203,15.34762,15.96844,15.251927,15.033662,14.34833,15.703942,16.522384,16.749251,17.607474,14.130064,18.202921,19.102648,19.803034,17.845954,20.299776,21.272402,22.142454,19.901952,23.371838,23.815466,24.344248,22.798756,24.368548,24.277802,24.025775,24.506604,23.785361,23.416996,23.474626,23.869226,23.38345,22.791875,22.505872,23.562578,21.194558,20.646851,20.301497,21.793659,19.263714,19.131464,18.737941,19.523912,18.11755,17.809183,17.713491,18.130668,17.28255
2025,Punchbowl 33_11kV,2024-05-10,MW,16.596142,16.319171,15.82974,15.42783,14.680781,14.144257,15.388263,13.143244,12.894659,12.521349,13.611818,12.288891,11.981599,11.900959,12.305019,11.853865,11.862466,12.082022,11.883541,12.952935,13.306675,14.101678,12.41899,15.180534,15.607174,16.092734,14.378219,17.458452,17.923583,18.430434,16.590766,19.158989,19.191245,18.457743,18.923951,17.848536,17.564468,17.936702,18.375383,15.060326,16.463463,16.227134,17.95756,17.925735,17.573284,18.178407,16.798494,17.839073,19.27296,17.972613,17.917778,16.046715,14.880123,15.815332,14.767012,17.856492,16.951819,18.562038,16.562381,17.751767,18.450648,19.29769,18.344633,20.414607,21.09865,21.908491,19.991839,23.191849,23.740633,23.603006,22.700698,23.409469,22.9295,22.249544,23.678915,21.986121,21.434112,21.081448,22.110198,20.85759,20.055492,20.40278,20.949197,19.988614,19.667773,19.692073,20.754371,19.175548,19.183718,19.168666,19.313172,18.308075,17.970463,17.672418,18.793636,17.468991
